        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                               0
            0.0011329313                   4.3749741e-22
            0.0022658627                   5.0529556e-21
             0.003398794                   1.6299282e-20
            0.0045317253                   3.0622885e-20
            0.0056646564                   4.0568029e-20
             0.006797588                   4.0301002e-20
            0.0079305191                    2.924245e-20
            0.0090634506                   1.1531949e-20
             0.010196382                  -6.1225098e-21
             0.011329313                  -1.6886231e-20
             0.012462244                  -1.6228683e-20
             0.013595176                  -3.7455691e-21
             0.014728107                   1.6147031e-20
             0.015861038                   3.5865446e-20
              0.01699397                   4.7982027e-20
             0.018126901                   4.8261022e-20
             0.019259833                   3.7223166e-20
             0.020392764                   1.9646674e-20
             0.021525694                    2.703061e-21
             0.022658626                  -6.4645603e-21
             0.023791557                  -3.3356036e-21
             0.024924489                   1.2138059e-20
              0.02605742                   3.5208694e-20
             0.027190352                   5.7924285e-20
             0.028323283                   7.2218083e-20
             0.029456215                   7.3086726e-20
             0.030589145                   6.0579496e-20
             0.031722076                   3.9835642e-20
             0.032855008                   1.9182528e-20
             0.033987939                   7.0697915e-21
             0.035120871                   8.9015588e-21
             0.036253802                   2.4930766e-20
             0.037386734                   5.0054841e-20
             0.038519666                   7.5645557e-20
             0.039652597                   9.2755426e-20
             0.040785529                   9.5436868e-20
              0.04191846                   8.2922375e-20
             0.043051388                   5.9894429e-20
              0.04418432                   3.4809634e-20
             0.045317251                   1.6885837e-20
             0.046450183                   1.2779402e-20
             0.047583114                   2.4168235e-20
             0.048716046                   4.7142513e-20
             0.049848977                   7.3653099e-20
             0.050981909                   9.4477513e-20
             0.052114841                   1.0255094e-19
             0.053247772                   9.5458581e-20
             0.054380704                   7.6206373e-20
             0.055513635                   5.2059853e-20
             0.056646567                   3.1929999e-20
             0.057779498                   2.3179769e-20
              0.05891243                   2.8999437e-20
             0.060045358                   4.7335562e-20
             0.061178289                    7.173647e-20
             0.062311221                   9.3776393e-20
             0.063444152                   1.0609984e-19
             0.064577088                   1.0496654e-19
             0.065710016                   9.1466866e-20
             0.066842951                    7.100784e-20
             0.067975879                   5.1302624e-20
             0.069108807                   3.9592024e-20
             0.070241742                   4.0070293e-20
              0.07137467                   5.2487499e-20
             0.072507605                   7.2377709e-20
             0.073640533                   9.2777237e-20
             0.074773468                   1.0676968e-19
             0.075906396                   1.0989467e-19
             0.077039331                    1.016278e-19
             0.078172259                   8.5427194e-20
             0.079305194                   6.7364646e-20
             0.080438122                   5.3887379e-20
             0.081571057                   4.9510411e-20
             0.082703985                    5.529568e-20
             0.083836921                   6.8635725e-20
             0.084969848                   8.4354793e-20
             0.086102776                   9.6698861e-20
             0.087235712                   1.0144026e-19
             0.088368639                   9.7345574e-20
             0.089501575                   8.6514982e-20
             0.090634502                    7.349722e-20
             0.091767438                   6.3563861e-20
             0.092900366                   6.0791093e-20
             0.094033301                   6.6647616e-20
             0.095166229                   7.9578071e-20
             0.096299164                   9.5661344e-20
             0.097432092                   1.1007195e-19
             0.098565027                    1.187865e-19
             0.099697955                   1.1991029e-19
              0.10083089                   1.1417683e-19
              0.10196382                   1.0447131e-19
              0.10309675                   9.4619096e-20
              0.10422968                    8.794318e-20
              0.10536261                   8.6129697e-20
              0.10649554                   8.8801044e-20
              0.10762847                   9.3891352e-20
              0.10876141                   9.8627239e-20
              0.10989434                   1.0071303e-19
              0.11102727                    9.925081e-20
               0.1121602                   9.5058691e-20
              0.11329313                   9.0286512e-20
              0.11442606                    8.750332e-20
                0.115559                   8.8640422e-20
              0.11669192                   9.4199425e-20
              0.11782486                   1.0301985e-19
              0.11895779                   1.1268159e-19
              0.12009072                   1.2037476e-19
              0.12122365                   1.2390762e-19
              0.12235658                   1.2247446e-19
              0.12348951                   1.1690058e-19
              0.12462244                   1.0929239e-19
              0.12575537                   1.0224638e-19
               0.1268883                   9.7939277e-20
              0.12802124                   9.7445081e-20
              0.12915418                    1.005025e-19
               0.1302871                   1.0577283e-19
              0.13142003                   1.1144323e-19
              0.13255297                   1.1592396e-19
               0.1336859                   1.1837751e-19
              0.13481882                   1.1889178e-19
              0.13595176                    1.182657e-19
              0.13708469                   1.1753046e-19
              0.13821761                   1.1743409e-19
              0.13935055                   1.1812259e-19
              0.14048348                   1.1914313e-19
              0.14161642                   1.1974751e-19
              0.14274934                   1.1933873e-19
              0.14388227                   1.1784382e-19
