        Time / ns                i1/real
----------------------------------------------------------------------
                       0                   1.4106301e-18
            0.0011329313                   1.4106301e-18
            0.0022658627                   1.4106301e-18
             0.003398794                   1.4106301e-18
            0.0045317253                   1.4106301e-18
            0.0056646569                   1.4106301e-18
             0.006797588                   1.4106301e-18
            0.0079305191                   1.4106301e-18
            0.0090634506                   1.4106301e-18
             0.010196382                   1.4106301e-18
             0.011329314                   1.4106301e-18
             0.012462245                   1.4106301e-18
             0.013595176                   1.4106301e-18
             0.014728107                   1.4106301e-18
             0.015861038                   1.4106301e-18
              0.01699397                   1.4106301e-18
             0.018126901                   1.4106301e-18
             0.019259833                   1.4106301e-18
             0.020392764                   1.4106301e-18
             0.021525696                   1.4106301e-18
             0.022658627                   1.4106301e-18
             0.023791559                   1.4106301e-18
             0.024924491                   1.4106301e-18
              0.02605742                   1.4106301e-18
             0.027190352                   1.4106301e-18
             0.028323283                   1.4106301e-18
             0.029456215                   1.4106301e-18
             0.030589147                   1.4106301e-18
             0.031722076                   1.4106301e-18
             0.032855008                   1.4106301e-18
             0.033987939                   1.4106301e-18
             0.035120871                   1.4106301e-18
             0.036253802                   1.4106301e-18
             0.037386734                   1.4106301e-18
             0.038519666                   1.4106301e-18
             0.039652597                   1.4106301e-18
             0.040785529                   1.4106301e-18
              0.04191846                   1.4106301e-18
             0.043051392                   1.4106301e-18
             0.044184323                   1.4106301e-18
             0.045317255                   1.4106301e-18
             0.046450187                   1.4106301e-18
             0.047583118                   1.4106301e-18
              0.04871605                   1.4106301e-18
             0.049848981                   1.4106301e-18
             0.050981913                   1.4106301e-18
             0.052114841                   1.4106301e-18
             0.053247772                   1.4106301e-18
             0.054380704                   1.4106301e-18
             0.055513635                   1.4106301e-18
             0.056646567                   1.4106301e-18
             0.057779498                   1.4106301e-18
              0.05891243                   1.4106301e-18
             0.060045362                   1.4106301e-18
             0.061178293                   1.4106301e-18
             0.062311225                   1.4106301e-18
             0.063444152                   1.4106301e-18
             0.064577088                   1.4106301e-18
             0.065710016                   1.4106301e-18
             0.066842951                   1.4106301e-18
             0.067975879                   1.4106301e-18
             0.069108814                   1.4106301e-18
             0.070241742                   1.4106301e-18
             0.071374677                   1.4106301e-18
             0.072507605                   1.4106301e-18
              0.07364054                   1.4106301e-18
             0.074773468                   1.4106301e-18
             0.075906403                   1.4106301e-18
             0.077039331                   1.4106301e-18
             0.078172266                   1.4106301e-18
             0.079305194                   1.4106302e-18
              0.08043813                   1.4106302e-18
             0.081571057                   1.4106302e-18
             0.082703985                   1.4106302e-18
             0.083836921                   1.4106302e-18
             0.084969848                   1.4106302e-18
             0.086102784                   1.4106302e-18
             0.087235712                   1.4106303e-18
             0.088368647                   1.4106303e-18
             0.089501575                   1.4106304e-18
              0.09063451                   1.4106305e-18
             0.091767438                   1.4106306e-18
             0.092900373                   1.4106307e-18
             0.094033301                   1.4106308e-18
             0.095166236                   1.4106311e-18
             0.096299164                   1.4106313e-18
             0.097432099                   1.4106317e-18
             0.098565027                   1.4106323e-18
             0.099697962                   1.4106328e-18
              0.10083089                   1.4106336e-18
              0.10196383                   1.4106346e-18
              0.10309675                    1.410636e-18
              0.10422968                   1.4106376e-18
              0.10536262                   1.4106398e-18
              0.10649554                   1.4106426e-18
              0.10762848                   1.4106461e-18
              0.10876141                   1.4106508e-18
              0.10989434                   1.4106567e-18
              0.11102727                   1.4106642e-18
              0.11216021                   1.4106739e-18
              0.11329313                   1.4106863e-18
              0.11442607                   1.4107023e-18
                0.115559                   1.4107226e-18
              0.11669193                   1.4107487e-18
              0.11782486                    1.410782e-18
               0.1189578                   1.4108245e-18
              0.12009072                   1.4108788e-18
              0.12122366                   1.4109479e-18
              0.12235659                   1.4110361e-18
              0.12348951                   1.4111486e-18
              0.12462245                   1.4112916e-18
              0.12575538                   1.4114738e-18
               0.1268883                   1.4117055e-18
              0.12802124                   1.4119998e-18
              0.12915418                    1.412374e-18
              0.13028711                    1.412849e-18
              0.13142003                   1.4134511e-18
              0.13255297                   1.4142154e-18
               0.1336859                   1.4151838e-18
              0.13481884                   1.4164093e-18
              0.13595176                   1.4179619e-18
              0.13708469                   1.4199259e-18
              0.13821763                   1.4224068e-18
              0.13935056                   1.4255441e-18
              0.14048348                   1.4295055e-18
              0.14161642                   1.4345003e-18
              0.14274935                   1.4408061e-18
              0.14388229                   1.4487534e-18
              0.14501521                   1.4587561e-18
              0.14614815                   1.4713619e-18
              0.14728108                   1.4872199e-18
                0.148414                   1.5071433e-18
              0.14954694                   1.5322081e-18
              0.15067987                    1.563681e-18
              0.15181281                   1.6031519e-18
              0.15294573                   1.6527207e-18
              0.15407866                   1.7148487e-18
               0.1552116                   1.7926251e-18
              0.15634453                   1.8901269e-18
              0.15747745                   2.0121084e-18
              0.15861039                     2.16454e-18
              0.15974332                   2.3552944e-18
              0.16087626                   2.5935032e-18
              0.16200918                   2.8906418e-18
              0.16314211                   3.2618285e-18
              0.16427505                   3.7245048e-18
              0.16540797                   4.3006063e-18
              0.16654091                   5.0190052e-18
              0.16767384                   5.9128293e-18
              0.16880678                   7.0237775e-18
               0.1699397                   8.4066845e-18
              0.17107263                   1.0124123e-17
              0.17220557                   1.2254924e-17
               0.1733385                   1.4902653e-17
              0.17447142                   1.8184844e-17
              0.17560436                   2.2249698e-17
              0.17673729                   2.7291742e-17
              0.17787023                   3.3530514e-17
              0.17900315                   4.1243083e-17
              0.18013608                    5.079282e-17
              0.18126902                   6.2587483e-17
              0.18240196                   7.7142222e-17
              0.18353488                   9.5132044e-17
              0.18466781                   1.1731005e-16
              0.18580075                   1.4462876e-16
              0.18693367                    1.783351e-16
               0.1880666                   2.1981228e-16
              0.18919954                   2.7081253e-16
              0.19033247                   3.3362402e-16
              0.19146539                   4.1077548e-16
              0.19259833                   5.0547411e-16
              0.19373126                    6.218881e-16
               0.1948642                   7.6462178e-16
              0.19599712                   9.3951063e-16
              0.19713005                   1.1541046e-15
              0.19826299                   1.4167413e-15
              0.19939592                   1.7379785e-15
              0.20052885                   2.1314157e-15
              0.20166178                   2.6120662e-15
              0.20279472                   3.1989258e-15
              0.20392765                   3.9163534e-15
              0.20506057                   4.7912309e-15
              0.20619351                   5.8575471e-15
              0.20732644                   7.1586854e-15
              0.20845936                   8.7425142e-15
               0.2095923                   1.0669507e-14
              0.21072523                   1.3016496e-14
              0.21185817                   1.5868241e-14
              0.21299109                   1.9331738e-14
              0.21412402                   2.3542295e-14
              0.21525696                   2.8649151e-14
              0.21638989                   3.4840556e-14
              0.21752281                   4.2353453e-14
              0.21865575                   5.1449144e-14
              0.21978869                   6.2456984e-14
              0.22092162                   7.5789547e-14
              0.22205454                   9.1901774e-14
              0.22318748                   1.1136667e-13
              0.22432041                   1.3489855e-13
              0.22545335                   1.6328505e-13
              0.22658627                   1.9751747e-13
               0.2277192                   2.3882556e-13
              0.22885214                   2.8856526e-13
              0.22998506                    3.484419e-13
