        Time / ns                i1/real
----------------------------------------------------------------------
                       0                   1.4106301e-18
             0.001133146                   1.4106301e-18
             0.002266292                   1.4106301e-18
            0.0033994378                   1.4106301e-18
             0.004532584                   1.4106301e-18
            0.0056657298                   1.4106301e-18
            0.0067988755                   1.4106301e-18
            0.0079320213                   1.4106301e-18
             0.009065168                   1.4106301e-18
             0.010198314                   1.4106301e-18
              0.01133146                   1.4106301e-18
             0.012464605                   1.4106301e-18
             0.013597751                   1.4106301e-18
             0.014730898                   1.4106301e-18
             0.015864043                   1.4106301e-18
              0.01699719                   1.4106301e-18
             0.018130336                   1.4106301e-18
             0.019263482                   1.4106301e-18
             0.020396627                   1.4106301e-18
             0.021529773                   1.4106301e-18
             0.022662919                   1.4106301e-18
             0.023796065                   1.4106301e-18
             0.024929211                   1.4106301e-18
             0.026062356                   1.4106301e-18
             0.027195502                   1.4106301e-18
              0.02832865                   1.4106301e-18
             0.029461795                   1.4106301e-18
             0.030594941                   1.4106301e-18
             0.031728085                   1.4106301e-18
             0.032861233                   1.4106301e-18
              0.03399438                   1.4106301e-18
             0.035127524                   1.4106301e-18
             0.036260672                   1.4106301e-18
             0.037393816                   1.4106301e-18
             0.038526963                   1.4106301e-18
             0.039660107                   1.4106301e-18
             0.040793255                   1.4106301e-18
             0.041926399                   1.4106301e-18
             0.043059547                   1.4106301e-18
              0.04419269                   1.4106301e-18
             0.045325838                   1.4106301e-18
             0.046458986                   1.4106301e-18
              0.04759213                   1.4106301e-18
             0.048725277                   1.4106301e-18
             0.049858421                   1.4106301e-18
             0.050991569                   1.4106301e-18
             0.052124713                   1.4106301e-18
              0.05325786                   1.4106301e-18
             0.054391004                   1.4106301e-18
             0.055524152                   1.4106301e-18
             0.056657299                   1.4106301e-18
             0.057790443                   1.4106301e-18
             0.058923591                   1.4106301e-18
             0.060056735                   1.4106301e-18
             0.061189882                   1.4106301e-18
             0.062323026                   1.4106301e-18
              0.06345617                   1.4106301e-18
             0.064589322                   1.4106301e-18
             0.065722466                   1.4106301e-18
             0.066855609                   1.4106301e-18
             0.067988761                   1.4106301e-18
             0.069121905                   1.4106301e-18
             0.070255049                   1.4106301e-18
             0.071388192                   1.4106301e-18
             0.072521344                   1.4106301e-18
             0.073654488                   1.4106301e-18
             0.074787632                   1.4106301e-18
             0.075920776                   1.4106301e-18
             0.077053927                   1.4106301e-18
             0.078187071                   1.4106301e-18
             0.079320215                   1.4106302e-18
             0.080453366                   1.4106302e-18
              0.08158651                   1.4106302e-18
             0.082719654                   1.4106302e-18
             0.083852798                   1.4106302e-18
             0.084985949                   1.4106302e-18
             0.086119093                   1.4106302e-18
             0.087252237                   1.4106303e-18
             0.088385381                   1.4106303e-18
             0.089518532                   1.4106304e-18
             0.090651676                   1.4106305e-18
              0.09178482                   1.4106306e-18
             0.092917971                   1.4106307e-18
             0.094051115                   1.4106309e-18
             0.095184259                   1.4106311e-18
             0.096317403                   1.4106313e-18
             0.097450554                   1.4106317e-18
             0.098583698                   1.4106323e-18
             0.099716842                   1.4106329e-18
              0.10084999                   1.4106336e-18
              0.10198314                   1.4106346e-18
              0.10311628                    1.410636e-18
              0.10424943                   1.4106376e-18
              0.10538258                   1.4106398e-18
              0.10651572                   1.4106426e-18
              0.10764886                   1.4106462e-18
              0.10878201                   1.4106509e-18
              0.10991516                   1.4106568e-18
               0.1110483                   1.4106644e-18
              0.11218145                   1.4106741e-18
               0.1133146                   1.4106866e-18
              0.11444774                   1.4107027e-18
              0.11558089                   1.4107231e-18
              0.11671403                   1.4107493e-18
              0.11784718                   1.4107827e-18
              0.11898033                   1.4108254e-18
              0.12011347                     1.41088e-18
              0.12124661                   1.4109495e-18
              0.12237976                   1.4110382e-18
              0.12351291                   1.4111512e-18
              0.12464605                    1.411295e-18
               0.1257792                    1.411478e-18
              0.12691234                   1.4117111e-18
               0.1280455                    1.412007e-18
              0.12917864                    1.412383e-18
              0.13031179                   1.4128606e-18
              0.13144493                   1.4134663e-18
              0.13257807                   1.4142341e-18
              0.13371122                   1.4152082e-18
              0.13484436                   1.4164409e-18
              0.13597752                   1.4180011e-18
              0.13711067                   1.4199766e-18
              0.13824381                   1.4224721e-18
              0.13937695                   1.4256252e-18
               0.1405101                   1.4296102e-18
              0.14164324                   1.4346353e-18
              0.14277638                    1.440973e-18
              0.14390953                   1.4489682e-18
              0.14504269                   1.4590324e-18
              0.14617583                   1.4717032e-18
              0.14730898                   1.4876584e-18
              0.14844212                   1.5077064e-18
              0.14957526                    1.532902e-18
              0.15070841                   1.5645709e-18
              0.15184155                   1.6042921e-18
              0.15297471                   1.6541235e-18
              0.15410785                   1.7166438e-18
                0.155241                   1.7949203e-18
              0.15637414                    1.892946e-18
              0.15750729                   2.0157083e-18
              0.15864043                   2.1691335e-18
              0.15977357                   2.3609263e-18
              0.16090673                   2.6006798e-18
              0.16203988                   2.8997807e-18
              0.16317302                   3.2730139e-18
              0.16430616                   3.7387298e-18
              0.16543931                   4.3186835e-18
              0.16657245                   5.0410909e-18
               0.1677056                   5.9408595e-18
              0.16883875                   7.0593264e-18
               0.1699719                   8.4500412e-18
              0.17110504                   1.0179037e-17
              0.17223819                   1.2324425e-17
              0.17337133                   1.4987275e-17
              0.17450447                   1.8291804e-17
              0.17563762                   2.2384793e-17
              0.17677076                   2.7455948e-17
              0.17790392                    3.373764e-17
              0.17903706                   4.1504164e-17
              0.18017021                   5.1109617e-17
              0.18130335                   6.2986277e-17
               0.1824365                   7.7643891e-17
              0.18356964                   9.5739717e-17
              0.18470278                   1.1807347e-16
              0.18583594                   1.4558715e-16
              0.18696909                   1.7949404e-16
              0.18810223                   2.2126528e-16
              0.18923537                   2.7263209e-16
              0.19036852                   3.3582162e-16
              0.19150166                   4.1352516e-16
              0.19263481                   5.0890655e-16
              0.19376796                   6.2603141e-16
              0.19490111                   7.6979556e-16
              0.19603425                   9.4594882e-16
               0.1971674                   1.1618717e-15
              0.19830054                   1.4264204e-15
              0.19943368                   1.7499865e-15
              0.20056683                    2.145893e-15
              0.20169997                    2.630071e-15
              0.20283313                   3.2211956e-15
              0.20396627                   3.9431832e-15
              0.20509942                   4.8245315e-15
              0.20623256                   5.8986146e-15
              0.20736571                   7.2081259e-15
              0.20849885                   8.8037555e-15
              0.20963199                   1.0744812e-14
              0.21076515                   1.3107084e-14
               0.2118983                   1.5980225e-14
              0.21303144                   1.9469047e-14
              0.21416458                   2.3707331e-14
              0.21529773                   2.8852761e-14
              0.21643087                   3.5089512e-14
              0.21756402                   4.2652419e-14
              0.21869718                   5.1817247e-14
              0.21983032                   6.2905823e-14
              0.22096346                    7.632805e-14
              0.22209661                   9.2563483e-14
              0.22322975                   1.1217132e-13
              0.22436289                   1.3586301e-13
              0.22549604                   1.6446782e-13
               0.2266292                   1.9895188e-13
              0.22776234                   2.4054315e-13
              0.22889549                   2.9066742e-13
              0.23002863                    3.509846e-13
              0.23116177                    4.236021e-13
