        Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                               0
             0.001133146                   4.3782891e-22
             0.002266292                   5.0562792e-21
             0.003399438                   1.6307877e-20
             0.004532584                   3.0633901e-20
            0.0056657298                    4.057359e-20
             0.006798876                   4.0293855e-20
            0.0079320222                   2.9221118e-20
             0.009065168                   1.1501995e-20
             0.010198314                  -6.1496726e-21
              0.01133146                  -1.6897348e-20
             0.012464606                  -1.6214146e-20
             0.013597752                   -3.705356e-21
             0.014730898                   1.6200474e-20
             0.015864044                   3.5911558e-20
              0.01699719                   4.8000974e-20
             0.018130336                   4.8242737e-20
             0.019263482                    3.717244e-20
             0.020396627                   1.9581976e-20
             0.021529773                   2.6511135e-21
             0.022662919                  -6.4778913e-21
             0.023796065                   -3.296092e-21
             0.024929212                   1.2225107e-20
             0.026062358                   3.5317303e-20
             0.027195504                   5.8016167e-20
              0.02832865                   7.2257626e-20
             0.029461795                    7.305601e-20
             0.030594941                   6.0487304e-20
             0.031728089                   3.9716185e-20
             0.032861233                   1.9084039e-20
              0.03399438                   7.0368117e-21
             0.035127524                   8.9568958e-21
             0.036260672                   2.5064489e-20
             0.037393816                   5.0225373e-20
             0.038526963                   7.5793642e-20
             0.039660111                   9.2826047e-20
             0.040793255                   9.5400614e-20
             0.041926403                   8.2788023e-20
             0.043059547                   5.9707667e-20
             0.044192694                   3.4638233e-20
             0.045325838                   1.6795666e-20
             0.046458986                   1.2809574e-20
              0.04759213                    2.431505e-20
             0.048725277                   4.7358811e-20
             0.049858425                   7.3864295e-20
             0.050991569                   9.4608479e-20
             0.052124716                    1.025537e-19
              0.05325786                   9.5330698e-20
             0.054391008                   7.5992844e-20
             0.055524152                   5.1838149e-20
             0.056657299                   3.1782929e-20
             0.057790447                   2.3165116e-20
             0.058923591                   2.9128073e-20
             0.060056739                   4.7566498e-20
             0.061189882                   7.1991177e-20
              0.06232303                   9.3967149e-20
             0.063456178                   1.0616122e-19
             0.064589322                   1.0487891e-19
             0.065722466                   9.1263955e-20
             0.066855617                    7.076492e-20
             0.067988761                   5.1109991e-20
             0.069121905                   3.9522341e-20
             0.070255049                   4.0152025e-20
               0.0713882                   5.2694678e-20
             0.072521344                   7.2639234e-20
             0.073654488                   9.3002702e-20
             0.074787632                   1.0688171e-19
             0.075920783                   1.0985632e-19
             0.077053927                   1.0145561e-19
             0.078187071                   8.5184811e-20
             0.079320222                   6.7139652e-20
             0.080453366                   5.3759544e-20
              0.08158651                   4.9522838e-20
             0.082719654                   5.5440023e-20
             0.083852805                   6.8856143e-20
             0.084985949                   8.4569298e-20
             0.086119093                   9.6829982e-20
             0.087252244                   1.0144328e-19
             0.088385388                   9.7224644e-20
             0.089518532                   8.6321053e-20
             0.090651676                   7.3308811e-20
             0.091784827                   6.3458208e-20
             0.092917971                   6.0816109e-20
             0.094051115                   6.6805123e-20
             0.095184259                   7.9823892e-20
              0.09631741                   9.5921647e-20
             0.097450554                   1.1026981e-19
             0.098583698                   1.1886868e-19
              0.09971685                   1.1986467e-19
              0.10084999                   1.1403425e-19
              0.10198314                   1.0429164e-19
              0.10311628                   9.4467755e-20
              0.10424943                   8.7867125e-20
              0.10538258                   8.6141904e-20
              0.10651572                   8.8878915e-20
              0.10764887                   9.3988533e-20
              0.10878202                   9.8694085e-20
              0.10991516                   1.0071739e-19
               0.1110483                   9.9191034e-20
              0.11218145                   9.4964076e-20
               0.1133146                   9.0205093e-20
              0.11444774                   8.7482098e-20
              0.11558089                   8.8706035e-20
              0.11671404                   9.4346612e-20
              0.11784718                   1.0321211e-19
              0.11898033                   1.1286382e-19
              0.12011348                   1.2049289e-19
              0.12124662                    1.239281e-19
              0.12237976                   1.2239608e-19
              0.12351291                   1.1675445e-19
              0.12464606                   1.0913002e-19
              0.12577921                   1.0212108e-19
              0.12691236                   9.7888043e-20
               0.1280455                   9.7477703e-20
              0.12917864                   1.0060108e-19
              0.13031179                   1.0590122e-19
              0.13144493                   1.1156181e-19
              0.13257807                   1.1600412e-19
              0.13371123                   1.1841035e-19
              0.13484438                   1.1888808e-19
              0.13597752                   1.1824781e-19
              0.13711067                   1.1752025e-19
              0.13824381                   1.1744252e-19
              0.13937695                   1.1814547e-19
               0.1405101                   1.1916474e-19
              0.14164324                   1.1975008e-19
               0.1427764                   1.1931305e-19
              0.14390954                   1.1779593e-19
